Complaint Year,Month,Patrol Borough Name,County,Offense Description,Bias Motive Description,Offense Category,General Offense Description
2021,6,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,6,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,3,PATROL BORO QUEENS NORTH,QUEENS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-ASIAN,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2021,3,PATROL BORO QUEENS NORTH,QUEENS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2021,6,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-ASIAN,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,5,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-ASIAN,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,1,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-BLACK,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,9,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,1,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,2,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,CRIMINAL MISCHIEF & RELATED OF
2021,4,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-JEWISH,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2021,5,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,5,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,8,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,ASSAULT 3 & RELATED OFFENSES
